feature,importance
num__chain_length,0.018054537
num__DAYS_SUPPLY_NUM,0.016539408
num__log_days_supply,0.01594676
num__unique_groups_same_day,0.012802491
num__fraction_of_chain_elapsed,0.010903947
num__DAYS_SUPLY_NUM,0.010704255
num__service_year,0.0051072706
num__days_supply_short,0.004582609
num__n_prior_patient_fills,0.0039991178
num__patient_fill_index,0.0039904225
cat__NDC7_5801605,0.0035653303
num__n_prior_fills_in_chain,0.0032139132
cat__NDC7_5801608,0.0027449485
num__days_since_first_fill_in_chain,0.0025454003
cat__NDC7_5469700,0.0025036721
num__service_quarter,0.0025007785
cat__NDC7_0061535,0.0023188384
num__hist_patient_total_rx_cost_prior,0.002269211
cat__NDC8_58016027,0.002238551
cat__NDC8_58016052,0.0022245373
cat__NDC8_00247002,0.0021955234
cat__NDC8_58016013,0.0021131944
cat__NDC7_6050501,0.0020940776
cat__NDC8_58016008,0.0020743816
cat__NDC8_54868508,0.00207149
