feature,mean_abs_shap
num__chain_length,0.47451248603623875
num__patient_fill_index,0.30477492412473584
num__service_year,0.2664990094110839
num__fraction_of_chain_elapsed,0.25894862997277523
num__DAYS_SUPLY_NUM,0.22860352291703592
num__service_month,0.10501755519492732
num__days_since_first_fill_in_chain,0.07587441058280116
num__hist_patient_total_rx_cost_prior,0.06833849374408417
num__hist_patient_total_pay_prior,0.06591962206845475
num__n_prior_patient_fills,0.06284125089797071
num__fills_same_day_count,0.06102859095996624
num__unique_groups_same_day,0.060595570192104924
num__hist_patient_mean_pay_prior,0.042041534645047805
num__hist_patient_mean_rx_cost_prior,0.041062229269021235
num__delta_patient_pay_share,0.03908535986218139
num__service_day,0.03614851224760062
num__DAYS_SUPPLY_NUM,0.02983700524494713
num__last_2_gap_mean,0.025098256301194978
num__TOT_RX_CST_AMT,0.024642919576723658
num__n_unique_drug_groups_last_90_days,0.023226977915109276
num__month_cos,0.023021947859716712
num__days_since_prev_any_fill,0.021839483171775233
num__qty_per_day,0.021394026953261494
num__same_day_total_rx_cost,0.0209056811502503
num__service_dayofweek,0.020058552785877006
num__hist_mean_qty_dispensed,0.019234895660484294
num__ratio_tot_rx_cst_amt_to_prev,0.01906616050677182
num__abs_last_cost_minus_hist_mean,0.01713279346467295
num__month_sin,0.01590409676840407
num__n_fills_last_60_days,0.015315848361581681
num__n_unique_drug_groups_last_30_days,0.014141352257185458
num__service_quarter,0.014094709987460551
num__fill_index_in_chain,0.014058892830596092
num__n_fills_last_90_days,0.013941246622340146
num__trend_gap_last2_minus_hist_mean,0.013926306999436094
num__n_active_drug_groups_on_fill_date,0.012310277927737768
num__n_prior_fills_in_chain,0.011902240711700702
num__rolling_3_gap_std,0.011475621257867476
num__QTY_DSPNSD_NUM,0.011321918772427258
num__last_3_gap_mean,0.011315060248376606
num__hist_mean_tot_rx_cst_amt,0.01119170142809605
num__prev_days_late_vs_runout,0.011190522312935505
num__hist_std_tot_rx_cst_amt,0.010660129536202366
num__n_fills_last_30_days,0.010439413110512894
num__same_day_total_patient_pay,0.01039916094367434
num__mean_prior_gap_days,0.010348026036069847
num__prev_qty_dispensed,0.010303790150221783
num__log_days_supply,0.009792198965245637
num__delta_qty_dispensed,0.009779120383747565
num__delta_tot_rx_cst_amt,0.009545532152315201
num__delta_qty_per_day,0.009270766886213692
num__patient_pay_share,0.009254507745818222
cat__NDC7_5801605,0.008825904673543822
num__prev_qty_per_day,0.00881387028131369
num__prev_gap_2,0.008735973494194495
num__std_prior_gap_days,0.008572474592240002
num__ratio_qty_dispensed_to_prev,0.008417399263334895
num__days_since_prev_fill,0.00831107780393984
num__cv_tot_rx_cst_amt_prior,0.008289661472123289
num__cv_gap_days_prior,0.008280058411654627
num__PTNT_PAY_AMT,0.007938137796009928
num__prev_patient_pay_share,0.007923002586873134
cat__NDC7_5801604,0.007604692390176658
num__abs_last_gap_minus_hist_mean,0.0072543558791213665
num__prev_total_rx_cost,0.006503315215232091
num__hist_mean_qty_per_day,0.006155254610202144
num__prev_gap_1,0.005903643839943508
num__log_total_rx_cost,0.005615485037726049
num__prev_patient_pay_amt,0.005486748729880965
num__hist_mean_ptnt_pay_amt,0.005375832552379299
num__ratio_ptnt_pay_amt_to_prev,0.005369331976850407
num__abs_last_days_supply_minus_hist_mean,0.005066755476828379
num__delta_ptnt_pay_amt,0.00504870231959243
cat__NDC8_58016097,0.004981642799510375
cat__NDC8_58016000,0.0049487532790824275
cat__NDC8_58016064,0.0045518542548950765
num__prev_gap_3,0.004515216983956148
num__hist_std_days_supply,0.0042527441181851025
num__cv_days_supply_prior,0.004021303003921009
num__days_supply_30,0.0039960536768211515
num__delta_days_supply,0.003960516304834222
num__hist_std_ptnt_pay_amt,0.0037015246377758316
num__hist_std_qty_dispensed,0.003670648683801823
num__hist_mean_prev_days_late,0.003606476094741616
num__prev_was_late,0.003400744128457816
cat__NDC8_58016067,0.003375694393970733
cat__NDC8_58016078,0.0032873692221967394
num__hist_mean_days_supply,0.003209207724898419
num__prev_early_surplus_days,0.0028079977245675973
cat__NDC7_5801609,0.00280557908440091
cat__NDC7_6626700,0.0027699378595506872
num__ratio_days_supply_to_prev,0.0027408825748192187
cat__NDC8_58016030,0.002640245176172991
cat__NDC8_58016065,0.0026247002064336417
cat__NDC7_5801608,0.002592419159461356
cat__NDC7_5801603,0.002416422254468103
num__prev_overlap_ratio,0.002407765159817747
cat__NDC7_5801606,0.0023704289467161776
num__days_supply_short,0.0023296188837968828
num__log_qty_dispensed,0.0023188560045949045
cat__NDC8_58016075,0.0021910420244820104
cat__NDC7_6626702,0.00215337898255372
cat__NDC7_0024706,0.002146974269750079
num__is_month_end,0.002121671235034902
num__prev_days_supply,0.0021182860256186084
num__prior_late_refill_rate,0.0019604465441789287
cat__NDC7_6139205,0.0017639571365447434
num__cv_ptnt_pay_amt_prior,0.0017201904739269464
cat__NDC7_5801602,0.0017159636113971235
cat__NDC8_58016094,0.0017044221971825187
cat__NDC8_58016079,0.0016976871137635797
cat__NDC7_1341101,0.0016405556676346166
cat__NDC7_6387404,0.0016401101286736054
cat__NDC7_5486846,0.0015273568566020377
cat__NDC8_58016085,0.0014974066248619115
num__days_supply_90,0.0014937965096669741
cat__NDC7_5801607,0.0014657385598896646
num__log_patient_pay_amt,0.00145526073246735
cat__NDC7_0049071,0.0014252089358909041
cat__NDC8_00490713,0.00136427828903288
